Station,Longitude,Latitude
sand3-1,126.05,36.99167
sand3-2,126.05833,36.99167
sand3-3,126.05833,36.94167
sand3-4,126.04167,36.94167
sand3-5,126.04167,36.925
sand3-6,126.01667,36.925
sand3-7,126,36.90833
sand3-8,125.99167,36.90833
sand3-9,125.99167,36.9625
